local-authority-code,label
ABC,Industry/domestic/transport
ABD,Industry/domestic/transport
ABE,Public sector
ADU,Urban mainstream
AGB,Industry/domestic/transport
AGY,Industry/domestic/transport
ALL,Industry/domestic/transport
AMB,Domestic
AND,Domestic
ANN,Industry/domestic/transport
ANS,Industry/domestic/transport
ARU,Domestic
ASF,Domestic
ASH,Domestic
BAB,Industry/domestic/transport
BAE,Industry/domestic/transport
BAI,Urban mainstream
BAN,Domestic
BAR,Industry/commercial/public sector
BAS,Urban mainstream
BBD,Urban mainstream
BDF,Domestic
BDG,Urban mainstream
BEN,Urban mainstream
BEX,Urban mainstream
BFS,Public sector
BGE,Domestic
BGW,Domestic
BIR,Public sector
BLA,Urban mainstream
BNE,Urban mainstream
BNH,Urban mainstream
BNS,Domestic
BOL,Urban mainstream
BOS,Domestic
BOT,Domestic
BPC,Urban mainstream
BPL,Public sector
BRA,Domestic
BRC,Urban mainstream
BRD,Domestic
BRE,Industry/domestic/transport
BRM,Domestic
BRO,Domestic
BRT,Domestic
BRW,Domestic
BRX,Urban mainstream
BRY,Urban mainstream
BST,Urban mainstream
BUC,Domestic
BUN,Domestic
BUR,Domestic
CAB,Public sector
CAN,Domestic
CAR,Domestic
CAS,Urban mainstream
CAT,Urban mainstream
CAY,Domestic
CBF,Domestic
CCG,Industry/domestic/transport
CGN,Industry/domestic/transport
CHA,Domestic
CHE,Domestic
CHI,Industry/domestic/transport
CHL,Domestic
CHO,Domestic
CHR,Domestic
CHS,Domestic
CHT,Urban mainstream
CHW,Domestic
CLD,Domestic
CLK,Industry/commercial/public sector
CMD,Public sector
CMN,Industry/domestic/transport
COL,Urban mainstream
CON,Industry/domestic/transport
COP,Domestic
COT,Industry/domestic/transport
COV,Urban mainstream
CRA,Industry/domestic/transport
CRF,Urban mainstream
CRW,Urban mainstream
CRY,Urban mainstream
CWY,Domestic
DAC,Domestic
DAL,Domestic
DAR,Urban mainstream
DEB,Industry/domestic/transport
DEN,Domestic
DER,Urban mainstream
DGY,Industry/domestic/transport
DNC,Domestic
DND,Public sector
DOV,Urban mainstream
