local-authority-code_A,local-authority-code_B,distance
HMF,KEC,0.017488249384817283
KEC,HMF,0.017488249384817283
KEC,WSM,0.020346777165894357
WSM,KEC,0.020346777165894357
WSM,CMD,0.020389350562792587
CMD,WSM,0.020389350562792587
ISL,LND,0.023825018006385874
LND,ISL,0.023825018006385874
HRY,ISL,0.0258885390628822
ISL,HRY,0.0258885390628822
MRT,WND,0.02664135771233348
WND,MRT,0.02664135771233348
SWK,LND,0.027405187969846187
LND,SWK,0.027405187969846187
HCK,ISL,0.02818588056051703
ISL,HCK,0.02818588056051703
CMD,ISL,0.028291559010680874
ISL,CMD,0.028291559010680874
TWH,HCK,0.02869554169955013
HCK,TWH,0.02869554169955013
HCK,LND,0.028853026689311057
LND,HCK,0.028853026689311057
LBH,SWK,0.029156694180504778
SWK,LBH,0.029156694180504778
KEC,WND,0.03070902887277458
WND,KEC,0.03070902887277458
TEW,CHT,0.031046039641130965
CHT,TEW,0.031046039641130965
MRT,STN,0.032095828134257876
STN,MRT,0.032095828134257876
NED,CHS,0.03292282854742948
CHS,NED,0.03292282854742948
NHE,STV,0.03394014065693166
STV,NHE,0.03394014065693166
EPS,KTT,0.034065992020571985
KTT,EPS,0.034065992020571985
HMF,WND,0.03409840156613851
WND,HMF,0.03409840156613851
CAB,SCA,0.03427728030090799
SCA,CAB,0.03427728030090799
NWM,GRE,0.034422071035933526
GRE,NWM,0.034422071035933526
THE,WAT,0.03444303277277962
WAT,THE,0.03444303277277962
TWH,SWK,0.034456000613114095
SWK,TWH,0.034456000613114095
KEC,CMD,0.034471160742023145
CMD,KEC,0.034471160742023145
LND,TWH,0.034666453042737015
TWH,LND,0.034666453042737015
HCK,HRY,0.035839208898062545
HRY,HCK,0.035839208898062545
HNS,RIC,0.036312702173763874
RIC,HNS,0.036312702173763874
LEW,SWK,0.036419467380172384
SWK,LEW,0.036419467380172384
WSM,ISL,0.03668310681888442
ISL,WSM,0.03668310681888442
RIC,KTT,0.037469183530619794
KTT,RIC,0.037469183530619794
OAD,LCE,0.03767811163951076
LCE,OAD,0.03767811163951076
WSM,HMF,0.03771539830846836
HMF,WSM,0.03771539830846836
HNS,EAL,0.039072799167532805
EAL,HNS,0.039072799167532805
HRY,ENF,0.039075982476632076
ENF,HRY,0.039075982476632076
HCK,WFT,0.03936522152804337
WFT,HCK,0.03936522152804337
SST,WLV,0.03957043885122265
WLV,SST,0.03957043885122265
CMD,HRY,0.0399572518609665
HRY,CMD,0.0399572518609665
LND,LBH,0.04017453773336982
LBH,LND,0.04017453773336982
WSM,WND,0.04066841466297963
WND,WSM,0.04066841466297963
LBH,WND,0.04078371761391862
WND,LBH,0.04078371761391862
WOI,GRT,0.040795120787211384
GRT,WOI,0.040795120787211384
LND,WSM,0.04081322124485812
WSM,LND,0.04081322124485812
RDB,NWM,0.04246427514710763
NWM,RDB,0.04246427514710763
TWH,LEW,0.04276824908835144
LEW,TWH,0.04276824908835144
BST,NSM,0.04338129807016188
NSM,BST,0.04338129807016188
RDB,BDG,0.04347572450101737
BDG,RDB,0.04347572450101737
EAL,BEN,0.043574654502731444
BEN,EAL,0.043574654502731444
TWH,NWM,0.04370994915254113
NWM,TWH,0.04370994915254113
CMD,LND,0.044112781673969655
LND,CMD,0.044112781673969655
SLF,TRF,0.04434479751280833
TRF,SLF,0.04434479751280833
HAR,EPP,0.0444005287168205
EPP,HAR,0.0444005287168205
EAT,STH,0.044510072435133816
STH,EAT,0.044510072435133816
LBH,WSM,0.045160690784330375
WSM,LBH,0.045160690784330375
BRO,NOW,0.04525392641374046
NOW,BRO,0.04525392641374046
TAM,OLD,0.046479858261324045
OLD,TAM,0.046479858261324045
GAT,NET,0.04670320234228957
NET,GAT,0.04670320234228957
HRW,EAL,0.047001664078977455
EAL,HRW,0.047001664078977455
SPE,RUN,0.04776272310579516
RUN,SPE,0.04776272310579516
LEW,GRE,0.04796168548339335
GRE,LEW,0.04796168548339335
LND,HRY,0.04798697097889651
HRY,LND,0.04798697097889651
HCK,SWK,0.04847688456878902
SWK,HCK,0.04847688456878902
BEN,HMF,0.048848952346348
HMF,BEN,0.048848952346348
CMD,HMF,0.048977630572875346
HMF,CMD,0.048977630572875346
BEN,BNE,0.0490451902936723
BNE,BEN,0.0490451902936723
FAR,GOS,0.049579986216058886
GOS,FAR,0.049579986216058886
TWH,WFT,0.04981075143203073
WFT,TWH,0.04981075143203073
TWH,ISL,0.05009349235915878
ISL,TWH,0.05009349235915878
GOS,POR,0.05020112411284143
POR,GOS,0.05020112411284143
