local-authority-code_A,local-authority-code_B,distance,match,position
BUC,DAC,0.1656427417408623,95.7,3.0
BUC,WNM,0.2018134528214031,94.69999999999999,6.0
BUC,HRT,0.22583711657886213,94.1,8.0
BUC,KEN,0.5843395521197093,84.8,93.0
BUC,WNT,0.30969676425745557,91.9,23.0
BUC,CHR,0.3048535954733451,92.0,21.0
BUC,SLG,0.22424118445221913,94.1,7.0
BUC,THE,0.2299216032069809,94.0,10.0
BUC,WOK,0.22782847287588287,94.1,9.0
BUC,SOX,0.1843912903297143,95.19999999999999,4.0
BUC,OXF,0.30943262378799957,91.9,22.0
BUC,MIK,0.19357070121950656,94.89999999999999,5.0
BUC,CBF,0.2660789100756463,93.10000000000001,16.0
BUC,HIL,0.27400062976227035,92.80000000000001,17.0
DST,HRT,1.0780537350012847,71.5,77.0
DST,EDE,0.5574079545315181,85.3,14.0
DST,WIL,0.3927688038669109,89.60000000000001,6.0
DST,SSO,0.26037753856048185,93.10000000000001,1.0
DST,NEW,0.4436416587315775,88.3,8.0
DST,DEV,0.6518352711894592,82.8,21.0
DST,BPC,0.28381829084009175,92.5,3.0
DST,SOM,0.3199845639910535,91.60000000000001,4.0
BOL,LAN,1.1981025892828732,54.800000000000004,156.0
BOL,BBD,0.07185202088271776,97.3,1.0
BOL,GMCA,0.12206416390892709,95.39999999999999,7.0
BOL,BUR,0.09082552717737011,96.6,4.0
BOL,CHO,0.1178872453557368,95.5,5.0
BOL,WGN,0.07994768617799182,97.0,3.0
BOL,SLF,0.07970007229270205,97.0,2.0
BRD,CLD,0.10419814260448808,96.3,1.0
BRD,PEN,0.19299124165998274,93.10000000000001,4.0
BRD,CRA,0.2377061005338833,91.5,10.0
BRD,KIR,0.14716246593062124,94.8,3.0
BRD,WYCA,0.11263775358468359,96.0,2.0
BRD,NYK,0.27371003843700553,90.2,14.0
BRD,LEC,0.3844314826213996,86.3,28.0
BRD,LDS,0.2037682167302323,92.7,5.0
BRD,HAG,0.20549087596934373,92.7,6.0
BUR,RCH,0.0925698325760232,96.5,5.0
BUR,BBD,0.11203145823717504,95.7,8.0
BUR,GMCA,0.0547762910891285,97.89999999999999,1.0
BUR,ROS,0.07196981816374108,97.3,3.0
BUR,LEC,0.40237692783300033,84.7,41.0
BUR,BOL,0.09082552717737011,96.6,4.0
BUR,SLF,0.07074412354963011,97.3,2.0
BUR,MAN,0.0978336616530828,96.3,6.0
CLD,RCH,0.12661003608970928,95.39999999999999,3.0
CLD,BUN,0.1497102550116913,94.5,5.0
CLD,PEN,0.153315048388513,94.39999999999999,6.0
CLD,WYCA,0.15909468124374182,94.19999999999999,7.0
CLD,KIR,0.13659282371882575,95.0,4.0
CLD,ROS,0.1728342483896499,93.7,9.0
CLD,LEC,0.3311484642576162,87.9,27.0
CLD,OLD,0.11592779962937119,95.8,2.0
CLD,BRD,0.10419814260448808,96.2,1.0
WLV,SST,0.04049986100705576,98.6,1.0
WLV,DUD,0.06741465323493799,97.7,2.0
WLV,STS,0.11701740390128497,96.1,6.0
WLV,WMCA,0.14202041869751048,95.19999999999999,7.0
WLV,WLL,0.09306813860099628,96.89999999999999,4.0
WLV,SAW,0.08178081746723741,97.3,3.0
COV,WAW,0.07772595871375397,97.7,2.0
COV,WMCA,0.2373437436825718,92.9,12.0
COV,NUN,0.05916675065542758,98.2,1.0
COV,SOL,0.12499735776858525,96.3,5.0
COV,NWA,0.10528640701814322,96.8,3.0
COV,RUG,0.1174086431846315,96.5,4.0
COV,WAR,0.5375037442621925,83.89999999999999,62.0
DNC,BNS,0.256581359198078,91.9,10.0
DNC,WKF,0.2000145744600709,93.60000000000001,6.0
DNC,SCR,0.1647551961047812,94.8,4.0
DNC,NLN,0.2966185509262151,90.60000000000001,15.0
DNC,SEL,0.15499346238991873,95.1,2.0
DNC,NYK,0.44189613586017834,86.0,33.0
DNC,OXF,0.9609208808896119,69.5,129.0
DNC,BAE,0.1566840339014198,95.0,3.0
DNC,ROT,0.14021043239111014,95.5,1.0
DNC,ERY,0.4100360044670683,87.0,28.0
DUD,SST,0.09864790038156344,96.7,4.0
DUD,STS,0.17576254022795862,94.19999999999999,11.0
DUD,BIR,0.1408461056951949,95.3,8.0
DUD,BRM,0.09456044474403143,96.89999999999999,3.0
DUD,WMCA,0.12398783766603423,95.89999999999999,7.0
DUD,WLV,0.06741465323493799,97.8,2.0
DUD,WOR,0.3023777975127031,90.0,22.0
DUD,SAW,0.06345647224920202,97.89999999999999,1.0
GAT,STY,0.1365306549644506,95.5,6.0
GAT,DUR,0.17548646160041606,94.19999999999999,7.0
GAT,SND,0.13592825716156165,95.5,5.0
GAT,NBL,0.29062330859054325,90.5,9.0
GAT,NECA,0.0611135007018993,98.0,2.0
GAT,NET,0.04769453500298726,98.4,1.0
KIR,BNS,0.14741017050958763,94.69999999999999,4.0
KIR,WKF,0.20691709708765288,92.60000000000001,10.0
KIR,CLD,0.13659282371882575,95.1,2.0
KIR,WYCA,0.07733002505922042,97.2,1.0
KIR,OLD,0.1751148623565305,93.7,6.0
KIR,HIG,0.1729158646996454,93.8,5.0
KIR,LDS,0.19519755205061193,93.0,8.0
KIR,DBY,0.3606134867260662,87.0,27.0
KIR,BRD,0.14716246593062124,94.69999999999999,3.0
KWL,LIV,0.05253416074608667,98.1,2.0
KWL,LAN,1.339160671973882,51.300000000000004,175.0
KWL,SHN,0.06873069550307283,97.5,3.0
KWL,SFT,0.13755196291284508,95.0,6.0
KWL,LCR,0.029117972177977743,98.9,1.0
KWL,WLA,0.11940618156254859,95.7,5.0
KWL,HAL,0.08471012179140418,96.89999999999999,4.0
LDS,WKF,0.11808076482784426,96.0,1.0
LDS,SEL,0.21832996601798516,92.60000000000001,8.0
LDS,WYCA,0.1272826992353416,95.7,2.0
LDS,KIR,0.19519755205061193,93.4,6.0
LDS,NYK,0.19370176483986054,93.5,5.0
LDS,BRD,0.2037682167302323,93.10000000000001,7.0
LDS,HAG,0.16111252598317938,94.6,3.0
LIV,CHW,0.16225913107343498,94.1,8.0
LIV,WRL,0.10519005826145802,96.2,3.0
LIV,KWL,0.05253416074608667,98.1,2.0
LIV,SFT,0.12102294769555569,95.6,5.0
LIV,LCR,0.027899003135051465,99.0,1.0
LIV,HAL,0.12102002123215212,95.6,4.0
MAN,RCH,0.11302199573294011,95.6,7.0
MAN,SKP,0.07132190291817449,97.3,2.0
MAN,GMCA,0.043276740857193394,98.3,1.0
MAN,BUR,0.0978336616530828,96.2,5.0
MAN,TRF,0.07524354989782908,97.1,3.0
MAN,TAM,0.10122903080566814,96.1,6.0
MAN,OLD,0.12435342827292775,95.19999999999999,8.0
MAN,CHE,0.18472676764908966,92.9,11.0
MAN,SLF,0.08438417248340598,96.8,4.0
NET,STY,0.12444783003375484,96.0,5.0
NET,NTCA,0.07362003490345392,97.6,2.0
NET,NTY,0.08051883562192065,97.39999999999999,3.0
NET,NBL,0.2742005133536799,91.10000000000001,8.0
NET,GAT,0.04769453500298726,98.5,1.0
NTY,STY,0.05830960224653514,98.1,1.0
NTY,NET,0.08051883562192065,97.39999999999999,2.0
NTY,NBL,0.33846598495859403,89.2,12.0
NTY,NTCA,0.13617761694214778,95.7,6.0
OLD,RCH,0.07491699138114118,97.2,2.0
OLD,CLD,0.11592779962937119,95.6,4.0
OLD,GMCA,0.1332154004333794,94.89999999999999,6.0
OLD,KIR,0.1751148623565305,93.30000000000001,11.0
OLD,TAM,0.047455607636402976,98.2,1.0
OLD,HIG,0.15345289303977488,94.19999999999999,7.0
OLD,DBY,0.41066585380361953,84.39999999999999,38.0
OLD,MAN,0.12435342827292775,95.3,5.0
RCH,CLD,0.12661003608970928,95.19999999999999,8.0
RCH,GMCA,0.09563341381213845,96.3,4.0
RCH,BUR,0.0925698325760232,96.5,3.0
RCH,ROS,0.08040074762214165,96.89999999999999,2.0
RCH,LEC,0.34140405041422844,87.0,28.0
RCH,OLD,0.07491699138114118,97.1,1.0
RCH,MAN,0.11302199573294011,95.7,7.0
WGN,LAN,1.240720634031115,53.800000000000004,160.0
WGN,SHN,0.08908972884069964,96.7,3.0
WGN,GMCA,0.18642789157321654,93.10000000000001,14.0
WGN,CHO,0.09284787382454236,96.5,4.0
WGN,WRT,0.08035700906696913,97.0,2.0
WGN,BOL,0.07994768617799182,97.0,1.0
WGN,WLA,0.17969607836965362,93.30000000000001,12.0
WGN,SLF,0.13062485564817772,95.1,6.0
WRL,FLN,0.10416666224479773,96.3,1.0
WRL,CHW,0.2348882760602398,91.7,10.0
WRL,LIV,0.10519005826145802,96.3,2.0
WRL,LCR,0.12905076550943476,95.39999999999999,3.0
WRL,SFT,0.13295313226877836,95.3,4.0
SWA,NTL,0.19690009735449507,94.1,2.0
SWA,CMN,0.17274296283614027,94.8,1.0
ANS,DND,0.15863260311594676,96.2,1.0
ANS,ABD,0.3621012718352923,91.3,3.0
ANS,PKN,0.5017345116097054,88.0,5.0
BAS,BST,0.19171178770238134,94.39999999999999,4.0
BAS,WIL,0.3297119607814167,90.4,12.0
BAS,NSM,0.20182664803298805,94.1,5.0
BAS,WECA,0.08475039917256272,97.5,1.0
BAS,SGC,0.12033275158884707,96.5,3.0
BAS,MEN,0.10582201247487315,96.89999999999999,2.0
BAS,SOM,0.21788826804825565,93.7,6.0
BDF,NNT,0.17549721407359956,95.39999999999999,3.0
BDF,HUN,0.19179346880495843,94.89999999999999,5.0
BDF,CAM,0.3407031498674859,91.0,22.0
BDF,MIK,0.16807925000743748,95.6,2.0
