local-authority-code,overlap
BUC,DAC|WNM|HRT|KEN|WNT|CHR|SLG|THE|WOK|SOX|OXF|MIK|CBF|HIL
DST,HRT|EDE|WIL|SSO|NEW|DEV|BPC|SOM
BOL,LAN|BBD|GMCA|BUR|CHO|WGN|SLF
BRD,CLD|PEN|CRA|KIR|WYCA|NYK|LEC|LDS|HAG
BUR,RCH|BBD|GMCA|ROS|LEC|BOL|SLF|MAN
CLD,RCH|BUN|PEN|WYCA|KIR|ROS|LEC|OLD|BRD
WLV,SST|DUD|STS|WMCA|WLL|SAW
COV,WAW|WMCA|NUN|SOL|NWA|RUG|WAR
DNC,BNS|WKF|SCR|NLN|SEL|NYK|OXF|BAE|ROT|ERY
DUD,SST|STS|BIR|BRM|WMCA|WLV|WOR|SAW
GAT,STY|DUR|SND|NBL|NECA|NET
KIR,BNS|WKF|CLD|WYCA|OLD|HIG|LDS|DBY|BRD
KWL,LIV|LAN|SHN|SFT|LCR|WLA|HAL
LDS,WKF|SEL|WYCA|KIR|NYK|BRD|HAG
LIV,CHW|WRL|KWL|SFT|LCR|HAL
MAN,RCH|SKP|GMCA|BUR|TRF|TAM|OLD|CHE|SLF
NET,STY|NTCA|NTY|NBL|GAT
NTY,STY|NET|NBL|NTCA
OLD,RCH|CLD|GMCA|KIR|TAM|HIG|DBY|MAN
RCH,CLD|GMCA|BUR|ROS|LEC|OLD|MAN
WGN,LAN|SHN|GMCA|CHO|WRT|BOL|WLA|SLF
WRL,FLN|CHW|LIV|LCR|SFT
SWA,NTL|CMN
ANS,DND|ABD|PKN
BAS,BST|WIL|NSM|WECA|SGC|MEN|SOM
BDF,NNT|HUN|CAM|MIK|CBF
BBD,LAN|RIB|BUR|ROS|LEC|CHO|HYN|BOL|SRI
BPL,FYL|WYR|LAN
BGW,CAY|TOF|POW|MON
BPC,HRT|DST|NEW
BRC,WNM|SRY|WOK|HAM|HAT|SUR
VGL,BGE|CRF|RCT
CAY,BGW|CRF|POW|RCT|NWP|TOF|MTY
NWP,CAY|TOF|CRF|MON
NTL,POW|BGE|RCT|SWA|CMN
CBF,DAC|KEN|HUN|BUC|CAM|NHE|LUT|SCA|SAL|BDF|MIK
CHE,CHW|SHR|STS|SKP|TRF|NEC|SFK|HIG|WRT|DBY|MAN|STF
CHW,FLN|WRL|SHR|LIV|WRX|WRT|CHE|HAL
BST,CRF|BAS|NSM|WECA|SGC|MON
DER,AMB|SDE|ERE|DBY
KHL,ERY
LCE,CHA|BLA|HAO|OAD|LEC
NGM,RUS|BRT|GED|ASH|NTT
PTE,SKE|FEN|HUN|CPCA|CAM|SHO|LIN|NNT
STH,HRT|TES|NEW|EAT
STE,STS|NEC|SFK|STF|STA
CLK,FIF|FAL|STG|PKN
CWY,GWN|DEN
SFT,WRL|LIV|LAN|KWL|LCR|WLA
SHF,NED|BNS|SCR|DEB|HIG|DBY|ROT
SOL,STR|WAW|BIR|BRM|WMCA|WOR|NWA|COV|WAR
STY,NTY|SND|NECA|GAT|NET
SKP,DBY|GMCA|TAM|HIG|CHE|MAN
SHN,LAN|KWL|LCR|WLA|WRT|WGN|HAL
SND,STY|DUR|NECA|GAT
TAM,SKP|GMCA|OLD|HIG|DBY|MAN
TRF,GMCA|WRT|CHE|SLF|MAN
WKF,BNS|SEL|DNC|KIR|WYCA|NYK|LDS
WLL,SST|CAN|LIF|STS|BIR|WMCA|WLV|SAW
SLF,GMCA|BUR|TRF|WGN|BOL|WRT|MAN
SAW,DUD|BIR|WMCA|WLL|WLV
HEF,SHR|POW|WOR|FOE|MAV|GLS|MON
DAL,DUR|TVCA|NYK|STT|RIH|HAE
DND,ANS|PKN
EAY,ERW|DGY|SLK|SAY|NAY
EDU,WDU|NLK|STG|GLG
ERW,EAY|SLK|RFW|NAY|GLG
ERY,NLN|SEL|DNC|YOR|NYK|RYE|KHL|NTT|SCE
FAL,CLK|NLK|WLN|STG
GLG,NLK|ERW|SLK|EDU|WDU|RFW
HAL,CHW|LIV|KWL|SHN|LCR|WRT
SHR,CHW|WYE|SST|STS|WRX|POW|HEF|MAV|NEC|WOR|TFW|CHE|STA
DEN,FLN|WRX|POW|GWN|CWY
CMN,NTL|CGN|POW|PEM|SWA
FLN,WRX|CHW|WRL|DEN
SLG,WNM|BUC|SRY|SPE|HIL
SOS,CAS|ROC|ESS
SGC,BAS|BST|COT|FOE|WIL|STO|WECA|GLS|MON
SLK,EAY|NLK|ERW|DGY|WLN|SCB|GLG
STG,NLK|FAL|PKN|EDU|WDU|AGB|CLK
STT,DUR|TVCA|NYK|RCC|MDB|HPL|DAL|HAE
SWD,VAL|COT|WIL|GLS|OXF
TFW,STS|STA|SST|SHR
BNH,LEE|HOR|ADU|MSS|ESX|WOR|WSX
THR,BRW|GRA|BEX|KEN|ESS|BAI|MDW|DAR|HAV|CAS
TOF,CAY|BGW|NWP|MON
TOB,SHA|TEI|DEV
WRT,CHW|SHN|TRF|WGN|CHE|SLF|HAL
WBK,HRT|TES|VAL|BAN|RDG|WOK|WIL|SOX|OXF
WDU,EDU|RFW|IVC|AGB|STG|GLG
WLN,NLK|FAL|SLK|SCB|EDH
WIL,HRT|TES|VAL|BAS|SWD|COT|OXF|NEW|WBK|SSO|SGC|MEN|DST|GLS|SOM
WNM,RUN|BRC|BUC|SRY|SLG|SPE|WOK|SUR
WOK,WNM|BRC|HRT|BUC|BAN|RDG|HAM|SOX|WBK|HAT|OXF
WRX,FLN|DEN|CHW|SHR|POW
YOR,SEL|NYK|RYE|HAE|HAG|ERY
IOW,
AGY,
GWN,POW|DEN|CGN|CWY
CRF,VGL|BST|RCT|NWP|CAY
CGN,PEM|GWN|POW|CMN
MON,BGW|BST|POW|HEF|FOE|NWP|SGC|TOF|GLS
PEM,CGN|CMN
NSM,BAS|BST|MEN|SEG|SOM
IVC,AGB|WDU|RFW|NAY
LUT,KEN|CBF|NHE
MDW,KEN|GRA|ESS|SWL|THR|LAN|CAS|MAI|TON
MTY,CAY|POW|RCT
MDB,TVCA|NYK|RCC|STT|HAE
MLN,SCB|ELN|EDH
MIK,NNT|WNT|BUC|BDF|CBF
NEL,ELI|WLI|NLN|NFK|LIN
NLK,FAL|SLK|EDU|WLN|STG|GLG
NLN,NEL|WLI|DNC|NFK|OXF|BAE|ERY
BGE,VGL|NTL|RCT
PKN,ABD|FIF|AGB|ANS|DND|STG|HLD|CLK
POW,NTL|BGW|DEN|CGN|SHR|WRX|GWN|HEF|RCT|CMN|CAY|MTY|MON
RDG,OXF|WOK|SOX|WBK
RCC,TVCA|NYK|MDB|STT|HPL|HAE|NTT|SCE
RFW,ERW|WDU|NAY|IVC|GLG
RCT,NTL|CRF|VGL|BGE|POW|CAY|MTY
RUT,SKE|MEL|HAO|LEC|LIN|NNT
AGB,PKN|WDU|IVC|STG|HLD
ABD,MRY|PKN|ABE|ANS|HLD
FIF,CLK|PKN
ABE,ABD
EDH,WLN|MLN|ELN|SCB
ELN,SCB|MLN|EDH
BIR,DUD|LIF|STS|BRM|WLL|WMCA|WOR|SOL|NWA|SAW|WAR
MRY,ABD|HLD
POR,GOS|HAA|FAR|HAM|WIN
PLY,CON|SHA|DEV
SAY,EAY|NAY|DGY
CON,WDE|PLY|TOR|SHA|DEV
IOS,
ORK,
ZET,
HLD,AGB|MRY|ABD|PKN
ELS,
BNS,SHF|WKF|SCR|DNC|KIR|HIG|DBY|ROT
NNT,WNT|SKE|HUN|HAO|CAM|LEC|RUT|LIN|PTE|MIK|BDF
DUR,CMA|EDN|NYK|STT|SND|NBL|RIH|GAT|HPL|NECA|DAL
NBL,DUR|NTCA|CMA|NTY|SCB|CAR|GAT|EDN|NET
DGY,EAY|CMA|SLK|SCB|SAY|CAR|ALL
SCB,DGY|CMA|SLK|WLN|NBL|CAR|EDH|MLN|ELN
NAY,EAY|ERW|RFW|SAY|IVC
HPL,STT|DUR|TVCA|RCC
ROT,NED|BNS|SHF|SCR|BOS|DEV|DNC|BAE|DBY|OXF
WNT,NNT|STR|BUC|HAO|CHR|LEC|MIK|RUG|OXF|WAR
FEN,ECA|CPCA|HUN|CAM|NFK|SHO|KIN|PTE|LIN
SCA,ECA|KEN|CPCA|UTT|HUN|CAM|NHE|BRA|WSK|GLS|CAB|CBF
ECA,FEN|CPCA|HUN|CAM|NFK|KIN|SCA|WSK
HUN,ECA|FEN|CPCA|CAM|SCA|PTE|BDF|NNT|CBF
CAB,CAM|SCA|CPCA
HIG,BNS|SHF|SKP|DBY|KIR|DEB|TAM|OLD|SFK|CHE|STF
ERE,RUS|BRT|AMB|SDE|NTT|DBY|DER|LIN|NWL
NED,SHF|CHS|BOS|DEV|DEB|AMB|DBY|ROT
AMB,NED|ASH|BOS|DEV|DEB|BRT|ERE|SDE|DBY|DER|NTT
CHS,BOS|DBY|NED|DEV
BRW,CHL|ESS|THR|BAI|HAV|EPP|GLS
EPP,BRW|HRT|CHL|HAR|ESS|UTT|WFT|EHE|ENF|BRX|RDB|HAV|GLS
UTT,KEN|HRT|CHL|ESS|EHE|CAM|NHE|SCA|EPP|BRA|GLS
CHL,BRW|MAL|ROC|UTT|ESS|BAI|EPP|BRA|GLS
HAR,HRT|EHE|EPP|ESS
COT,CHT|VAL|STR|TEW|SWD|WOR|WIL|STO|OXF|WYC|SGC|WOX|GLS|WAR
TEW,CHT|GLO|COT|WOR|FOE|STO|MAV|WYC|GLS
GLO,TEW|STO|GLS
CHT,TEW|COT|GLS
BAN,HRT|TES|WOK|EHA|HAM|WIN|WBK|HAT
NEW,HRT|TES|EAT|WIL|BPC|DST|STH
EAT,HRT|TES|FAR|HAM|WIN|NEW|STH
EHA,HRT|HAA|BAN|CHI|HAM|WAE|WIN|WSX|HAT|WAR
WIN,HRT|TES|HAA|BAN|POR|EAT|FAR|EHA|HAM
TES,HRT|BAN|EAT|HAM|WIL|NEW|WBK|WIN|STH
HAT,HRT|BRC|SRY|BAN|RUH|EHA|WOK|WAE|HAM|WAR|SUR
GOS,HAM|POR|FAR
FAR,HRT|GOS|POR|EAT|HAM|WIN
RUH,HRT|SRY|HAM|WAE|GRT|WAR|HAT|SUR
THE,DAC|HRT|KEN|HER|BUC|HRW|SAL|WAT|HIL
BRX,HRT|ESS|WEW|EHE|ENF|EPP
DAC,KEN|HRT|BUC|THE|SAL|CBF
EHE,KEN|HRT|HAR|ESS|UTT|STV|WEW|NHE|BRX|EPP|GLS
SAL,DAC|KEN|HRT|HER|WEW|NHE|THE|CBF|WAT
WEW,KEN|HRT|HER|EHE|ENF|NHE|SAL|BRX
NHE,KEN|HRT|UTT|STV|EHE|WEW|CAM|LUT|SCA|SAL|CBF|GLS
WAT,KEN|HRT|HER|THE|SAL
STV,KEN|HRT|EHE|NHE
TUN,KEN|ROH|SEV|WEA|LAN|ASF|ESX|MAI|TON
SEV,BRY|GRA|BEX|KEN|WEA|TUN|ESX|DAR|TAN|TON|WAR
TON,KEN|GRA|SEV|TUN|MDW|MAI
ASF,KEN|ROH|SWL|LAN|TUN|ESX|MAI|CAT|SHE
MAI,KEN|SWL|LAN|TUN|ASF|MDW|TON
DAR,KEN|GRA|BEX|SEV|THR
GRA,KEN|SEV|THR|MDW|DAR|TON
CHO,LAN|BBD|BOL|WLA|WGN|SRI
ROS,RCH|CLD|BUN|BBD|BUR|LEC|HYN
PRE,FYL|LAN|RIB|LEC|WYR|SRI
PEN,CLD|BUN|CRA|RIB|NYK|LEC|BRD
BUN,CLD|PEN|RIB|ROS|LEC|HYN
HIN,CHA|BLA|LEC|NUN|NWA|LIN|RUG|NWL|WAR
MEL,SKE|CHA|RUS|HAO|LEC|NEA|RUT|NTT|LIN
HAO,WNT|MEL|BLA|CHA|OAD|LEC|RUT|RUG|NNT|LCE|WAR
BLA,CHA|HAO|OAD|LEC|HIN|RUG|LCE|WAR
